Artist Name,Artist ID,Genres
Sigrid,4TrraAsitQKl821DQY42cZ,"['electropop', 'norwegian pop']"
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,"['australian pop', 'pop', 'viral pop']"
Addison Rae,4gvjmrtzydbMpyJaXUtwvP,['social media pop']
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,['bedroom pop']
Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,['afrobeats']
Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,['singer-songwriter pop']
FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,['k-pop girl group']
Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,"['alt z', 'electropop', 'pop']"
Labrinth,2feDdbD5araYcm6JhFHHw7,"['indie poptimism', 'pop']"
Mae Stephens,311uEW9rt5g2NmzjGEKS2E,['singer-songwriter pop']
BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,"['alt z', 'nz pop']"
Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,"['bedroom pop', 'indie poptimism', 'pov: indie']"
Kiesza,4zxvC7CRGvggq9EWXOpwAo,"['electropop', 'pop edm']"
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
Arlo Parks,4kIwETcbpuFgRukE8o7Opx,"['indie pop', 'indie soul', 'uk contemporary r&b']"
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,"['dance pop', 'pop']"
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,['pop']
Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop']
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,['pop']
Sophie Ellis-Bextor,2cBh5lVMg222FFuRU7EfDE,"['dance pop', 'europop', 'new wave pop']"
Rema,46pWGuE3dSwY3bMMXGBvVS,"['afrobeats', 'nigerian pop']"
Coi Leray,6AMd49uBDJfhf30Ak2QR5s,"['new jersey underground rap', 'trap queen']"
Dasha,7Ez6lTtSMjMf2YSYpukP1I,['alt z']
Nicky Youre,7qmpXeNz2ojlMl2EEfkeLs,['singer-songwriter pop']
Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'edm', 'pop', 'progressive electro house']"
Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,"['boy band', 'pop']"
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,['australian hip hop']
SZA,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']"
BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']"
24kGoldn,6fWVd57NKTalqvmjRd2t8Z,"['cali rap', 'pop rap']"
iann dior,6ASri4ePR7RlsvIQgWPJpS,['melodic rap']
Disciples,5EehXjjMktLuJmbRsM7YfB,"['house', 'pop dance', 'uk dance']"
Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']"
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,"['bedroom pop', 'pop', 'pov: indie']"
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,['lgbtq+ hip hop']
Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']"
